id,brightness,url,,
arxiv-astro-ph9902276,243.2183798,"<a href=""http://www.archive.org/details/arxiv-astro-ph9902276"">link</a>",,
nasa_techdoc_19680012452,243.2015774,"<a href=""http://www.archive.org/details/nasa_techdoc_19680012452"">link</a>",,
arxiv-astro-ph0009280,243.1735532,"<a href=""http://www.archive.org/details/arxiv-astro-ph0009280"">link</a>",,
arxiv-astro-ph0609426,243.1623991,"<a href=""http://www.archive.org/details/arxiv-astro-ph0609426"">link</a>",,
nasa_techdoc_19660001849,243.1346229,"<a href=""http://www.archive.org/details/nasa_techdoc_19660001849"">link</a>",,
arxiv-astro-ph9902151,243.1314821,"<a href=""http://www.archive.org/details/arxiv-astro-ph9902151"">link</a>",,
nasa_techdoc_19650011404,243.1125263,"<a href=""http://www.archive.org/details/nasa_techdoc_19650011404"">link</a>",,
nasa_techdoc_19980018612,243.096358,"<a href=""http://www.archive.org/details/nasa_techdoc_19980018612"">link</a>",,
nasa_techdoc_20020078212,243.0939829,"<a href=""http://www.archive.org/details/nasa_techdoc_20020078212"">link</a>",,
arxiv-astro-ph9906146,243.086217,"<a href=""http://www.archive.org/details/arxiv-astro-ph9906146"">link</a>",,
arxiv-1304.7428,243.0460319,"<a href=""http://www.archive.org/details/arxiv-1304.7428"">link</a>",,
arxiv-1304.7361,243.0207947,"<a href=""http://www.archive.org/details/arxiv-1304.7361"">link</a>",,
nasa_techdoc_20040171391,243.0148469,"<a href=""http://www.archive.org/details/nasa_techdoc_20040171391"">link</a>",,
arxiv-astro-ph0406544,242.9786997,"<a href=""http://www.archive.org/details/arxiv-astro-ph0406544"">link</a>",,
nasa_techdoc_19730010110,242.9346677,"<a href=""http://www.archive.org/details/nasa_techdoc_19730010110"">link</a>",,
jstor-112329,242.9165608,"<a href=""http://www.archive.org/details/jstor-112329"">link</a>",,
nasa_techdoc_19930004424,242.894995,"<a href=""http://www.archive.org/details/nasa_techdoc_19930004424"">link</a>",,
nasa_techdoc_19700021464,242.8826207,"<a href=""http://www.archive.org/details/nasa_techdoc_19700021464"">link</a>",,
arxiv-1304.2487,242.8632681,"<a href=""http://www.archive.org/details/arxiv-1304.2487"">link</a>",,
arxiv-astro-ph9906001,242.8623942,"<a href=""http://www.archive.org/details/arxiv-astro-ph9906001"">link</a>",,
arxiv-1304.2819,242.8477064,"<a href=""http://www.archive.org/details/arxiv-1304.2819"">link</a>",,
nasa_techdoc_19960016274,242.8413658,"<a href=""http://www.archive.org/details/nasa_techdoc_19960016274"">link</a>",,
arxiv-0804.2853,242.8379669,"<a href=""http://www.archive.org/details/arxiv-0804.2853"">link</a>",,
